,Season,Week,Name,Pos,Team,Opp,Fantasy Sharks,Site 2,ESPN
0,2018,16,Patrick Mahomes,QB,KCC,SEA,28.26,22.662000000000003,23.5
1,2018,16,Russell Wilson,QB,SEA,KCC,23.130000000000003,20.87,20.3
2,2018,16,Matt Ryan,QB,ATL,CAR,21.330000000000002,19.165999999999997,19.5
3,2018,16,Christian McCaffrey,RB,CAR,ATL,20.24,21.550000000000004,22.7
4,2018,16,Ben Roethlisberger,QB,PIT,NOS,21.18,19.57,20.1
5,2018,16,Deshaun Watson,QB,HOU,PHI,21.680000000000003,19.326000000000004,18.6
6,2018,16,Ezekiel Elliott,RB,DAL,TBB,21.529999999999998,24.470000000000002,24.8
7,2018,16,Davante Adams,WR,GBP,NYJ,19.45,15.89,20.1
8,2018,16,Andrew Luck,QB,IND,NYG,19.71,19.696000000000005,21.0
9,2018,16,Jared Goff,QB,LAR,ARI,19.1,17.770000000000003,20.099999999999998
10,2018,16,Antonio Brown,WR,PIT,NOS,17.189999999999998,15.230000000000002,17.9
11,2018,16,Philip Rivers,QB,LAC,BAL,18.51,17.976,18.4
12,2018,16,Jameis Winston,QB,TBB,DAL,18.36,17.42,19.2
13,2018,16,Kirk Cousins,QB,MIN,DET,18.669999999999998,17.555999999999997,17.8
14,2018,16,Alvin Kamara,RB,NOS,PIT,18.57,18.85,21.2
15,2018,16,Aaron Rodgers,QB,GBP,NYJ,18.55,17.598000000000003,20.1
16,2018,16,Saquon Barkley,RB,NYG,IND,18.205000000000002,19.960000000000004,21.7
17,2018,16,Tom Brady,QB,NEP,BUF,18.17,18.008000000000003,17.2
18,2018,16,Tyreek Hill,WR,KCC,SEA,17.205000000000002,14.33,18.6
19,2018,16,Baker Mayfield,QB,CLE,CIN,17.139999999999997,18.960000000000004,18.599999999999998
20,2018,16,Derek Carr,QB,OAK,DEN,17.03,15.774000000000003,14.799999999999999
21,2018,16,Travis Kelce,TE,KCC,SEA,15.85,14.700000000000001,19.5
22,2018,16,Josh Allen,QB,BUF,NEP,18.35,18.316000000000003,18.1
23,2018,16,Nick Foles,QB,PHI,HOU,17.27,16.204,16.9
24,2018,16,Dak Prescott,QB,DAL,TBB,18.150000000000002,19.44,20.3
25,2018,16,Nick Chubb,RB,CLE,CIN,18.21,19.840000000000003,20.3
26,2018,16,Adam Thielen,WR,MIN,DET,16.21,14.81,15.1
27,2018,16,Drew Brees,QB,NOS,PIT,17.759999999999998,20.78,19.900000000000002
28,2018,16,DeAndre Hopkins,WR,HOU,PHI,15.645000000000001,17.59,20.0
29,2018,16,Case Keenum,QB,DEN,OAK,16.5,14.937999999999997,16.1
30,2018,16,Michael Thomas,WR,NOS,PIT,13.56,18.22,19.5
31,2018,16,Jeff Driskel,QB,CIN,CLE,15.69,13.076,15.0
32,2018,16,Stefon Diggs,WR,MIN,DET,15.15,13.98,14.9
33,2018,16,Lamar Jackson,QB,BAL,LAC,17.12,17.634,16.2
34,2018,16,Sam Darnold,QB,NYJ,GBP,13.86,15.386000000000005,15.5
35,2018,16,Julio Jones,WR,ATL,CAR,14.184999999999999,16.720000000000002,19.9
36,2018,16,JuJu Smith-Schuster,WR,PIT,NOS,14.075000000000003,15.190000000000001,18.5
37,2018,16,Amari Cooper,WR,DAL,TBB,14.235,14.620000000000001,16.1
38,2018,16,David Johnson,RB,ARI,LAR,14.639999999999999,15.42,16.2
39,2018,16,Dalvin Cook,RB,MIN,DET,13.805000000000001,17.03,16.0
40,2018,16,Eli Manning,QB,NYG,IND,13.86,14.0,14.899999999999999
41,2018,16,Josh Johnson,QB,WAS,TEN,14.870000000000001,13.47,13.4
42,2018,16,Nick Mullens,QB,SFO,CHI,14.24,14.15,14.799999999999999
43,2018,16,Alshon Jeffery,WR,PHI,HOU,12.780000000000001,12.510000000000002,13.3
44,2018,16,Larry Fitzgerald,WR,ARI,LAR,11.41,10.31,11.3
45,2018,16,Melvin Gordon,RB,LAC,BAL,13.255,18.11,19.8
46,2018,16,Brandin Cooks,WR,LAR,ARI,12.925,12.99,14.1
47,2018,16,Cody Kessler,QB,JAC,MIA,14.32,13.177999999999999,13.200000000000001
48,2018,16,Zach Ertz,TE,PHI,HOU,11.86,12.51,15.7
49,2018,16,Sony Michel,RB,NEP,BUF,12.929999999999998,11.55,12.8
50,2018,16,Derrick Henry,RB,TEN,WAS,15.0,14.680000000000001,15.6
51,2018,16,Dante Pettis,WR,SFO,CHI,12.790000000000001,9.56,10.9
52,2018,16,Josh Rosen,QB,ARI,LAR,12.770000000000001,12.784,13.1
53,2018,16,Robert Woods,WR,LAR,ARI,12.8,13.57,16.2
54,2018,16,Courtland Sutton,WR,DEN,OAK,11.91,9.71,9.6
55,2018,16,Marlon Mack,RB,IND,NYG,13.590000000000002,15.320000000000002,14.2
56,2018,16,Calvin Ridley,WR,ATL,CAR,10.745000000000001,9.78,10.3
57,2018,16,Mike Evans,WR,TBB,DAL,11.46,12.26,14.9
58,2018,16,Julian Edelman,WR,NEP,BUF,11.975000000000001,12.740000000000002,15.1
59,2018,16,Doug Baldwin,WR,SEA,KCC,11.030000000000001,11.440000000000001,12.4
60,2018,16,Tarik Cohen,RB,CHI,SFO,10.99,13.690000000000003,14.4
61,2018,16,Phillip Lindsay,RB,DEN,OAK,13.595,15.67,16.6
62,2018,16,Chris Carson,RB,SEA,KCC,13.19,16.44,14.7
63,2018,16,Robby Anderson,WR,NYJ,GBP,10.435,12.450000000000001,10.5
64,2018,16,Kenyan Drake,RB,MIA,JAC,10.940000000000001,10.950000000000001,11.2
65,2018,16,Damien Williams,RB,KCC,SEA,12.24,15.790000000000001,14.1
66,2018,16,Demaryius Thomas,WR,HOU,PHI,10.115,9.26,10.1
67,2018,16,Ryan Tannehill,QB,MIA,JAC,11.980000000000002,14.373999999999999,16.2
68,2018,16,Marcus Mariota,QB,TEN,WAS,12.139999999999999,16.682,14.8
69,2018,16,Mike Williams,WR,LAC,BAL,11.32,8.7,8.8
70,2018,16,Tyler Lockett,WR,SEA,KCC,11.465000000000002,12.35,12.0
71,2018,16,Tyrell Williams,WR,LAC,BAL,9.81,5.76,8.5
72,2018,16,Allen Robinson,WR,CHI,SFO,9.955,10.040000000000001,12.2
73,2018,16,Jarvis Landry,WR,CLE,CIN,9.549999999999999,10.899999999999999,13.3
74,2018,16,Jared Cook,TE,OAK,DEN,10.2,10.270000000000001,11.6
75,2018,16,Gus Edwards,RB,BAL,LAC,12.610000000000001,10.340000000000002,9.0
76,2018,16,Matthew Stafford,QB,DET,MIN,10.200000000000001,14.189999999999998,13.9
77,2018,16,James White,RB,NEP,BUF,10.58,12.07,12.1
78,2018,16,Jamison Crowder,WR,WAS,TEN,9.755,7.220000000000001,9.7
79,2018,16,Keenan Allen,WR,LAC,BAL,9.945,13.860000000000001,18.1
80,2018,16,T.Y. Hilton,WR,IND,NYG,9.775000000000002,13.96,17.0
81,2018,16,Dion Lewis,RB,TEN,WAS,9.545,9.920000000000002,10.4
82,2018,16,Joe Mixon,RB,CIN,CLE,11.36,18.770000000000003,17.0
83,2018,16,Jordy Nelson,WR,OAK,DEN,9.38,9.27,10.5
84,2018,16,Tevin Coleman,RB,ATL,CAR,10.715,13.770000000000003,12.3
85,2018,16,LeGarrette Blount,RB,DET,MIN,10.9,5.550000000000001,7.1
86,2018,16,Corey Davis,WR,TEN,WAS,10.49,9.9,11.2
87,2018,16,Dede Westbrook,WR,JAC,MIA,9.360000000000001,9.52,11.3
88,2018,16,Rob Gronkowski,TE,NEP,BUF,9.315,10.010000000000002,11.6
89,2018,16,Golden Tate,WR,PHI,HOU,8.925,7.620000000000001,8.8
90,2018,16,Jordan Howard,RB,CHI,SFO,9.96,10.23,9.9
91,2018,16,Elijah McGuire,RB,NYJ,GBP,9.72,13.65,14.1
92,2018,16,Donte Moncrief,WR,JAC,MIA,9.145000000000001,6.6,8.4
93,2018,16,Adam Humphries,WR,TBB,DAL,8.57,9.71,10.1
94,2018,16,George Kittle,TE,SFO,CHI,9.34,11.600000000000001,15.7
95,2018,16,Mohamed Sanu,WR,ATL,CAR,9.07,7.91,11.1
96,2018,16,Leonard Fournette,RB,JAC,MIA,9.68,13.44,14.6
97,2018,16,Jamaal Williams,RB,GBP,NYJ,10.55,14.389999999999999,13.9
98,2018,16,Zay Jones,WR,BUF,NEP,9.11,7.070000000000001,9.5
99,2018,16,Kenny Stills,WR,MIA,JAC,8.75,8.33,10.1
100,2018,16,Kenny Golladay,WR,DET,MIN,9.185,12.129999999999999,12.4
101,2018,16,Evan Engram,TE,NYG,IND,8.675,9.350000000000001,11.7
102,2018,16,T.J. Yeldon,RB,JAC,MIA,8.365000000000002,7.16,8.0
103,2018,16,Eric Ebron,TE,IND,NYG,9.105,11.08,14.7
104,2018,16,Ryan Fitzpatrick,QB,TBB,DAL,8.200000000000001,1.222,0.1
105,2018,16,Peyton Barber,RB,TBB,DAL,9.395000000000001,9.100000000000001,11.8
106,2018,16,John Ross,WR,CIN,CLE,7.915000000000001,8.69,9.1
107,2018,16,Alex Erickson,WR,CIN,CLE,6.865,5.24,7.7
108,2018,16,Adrian Peterson,RB,WAS,TEN,8.16,7.79,10.1
109,2018,16,DaeSean Hamilton,WR,DEN,OAK,7.565,8.53,11.2
110,2018,16,Cameron Brate,TE,TBB,DAL,7.819999999999999,7.5600000000000005,8.1
111,2018,16,Chris Thompson,RB,WAS,TEN,7.2,6.339999999999999,8.6
112,2018,16,Chris Godwin,WR,TBB,DAL,7.415,9.79,7.6
113,2018,16,Josh Adams,RB,PHI,HOU,8.530000000000001,7.79,10.0
114,2018,16,Latavius Murray,RB,MIN,DET,8.72,4.41,4.7
115,2018,16,Josh Doctson,WR,WAS,TEN,7.659999999999999,5.58,8.0
116,2018,16,Chris Conley,WR,KCC,SEA,7.6899999999999995,7.49,8.9
117,2018,16,Doug Martin,RB,OAK,DEN,8.190000000000001,9.809999999999999,10.9
